CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
CODE_DEVELOPMENT,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
CODE_DEVELOPMENT,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
CODE_DEVELOPMENT,author,AGENT,,AGENT(s) who participated in this ACTIVITY
CODE_DEVELOPMENT,governedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that gave rise to this ACTIVITY
CODE_DEVELOPMENT,referenced,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that were referenced during this ACTIVITY
CODE_GEN,,,,ACTIVITY of running a CODE_GENERATOR to create source code FILEs
CODE_GEN,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
CODE_GEN,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
CODE_GEN,endedAtTime,dateTime,,The time an activity was ended
CODE_GEN,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
CODE_GEN,startedAtTime,dateTime,,The time an activity was started
CODE_GEN,title,string,,"A short, human-readable identifying label."
CODE_GEN,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
CODE_GEN,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
CODE_GEN,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
CODE_GEN,performedBy (SHARED PROPERTY),AGENT,,AGENT(s) (e.g. PACKAGER) performing the packaging ; AGENT(s) (e.g. COMPILER) performing the compilation ; AGENT(s) (e.g. CODE_GENERATOR) generating the code (SHARED PROPERTY)
COMPILE,,,,ACTIVITY of running a a COMPILER to produce executable and object FILEs
COMPILE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
COMPILE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
COMPILE,endedAtTime,dateTime,,The time an activity was ended
COMPILE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
COMPILE,startedAtTime,dateTime,,The time an activity was started
COMPILE,title,string,,"A short, human-readable identifying label."
COMPILE,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
COMPILE,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
COMPILE,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
COMPILE,compileInput,FILE,,Source files that contributed to the compilation
COMPILE,compiledBy,FILE,,The tool that performed the compilation
COMPILE,performedBy (SHARED PROPERTY),AGENT,,AGENT(s) (e.g. PACKAGER) performing the packaging ; AGENT(s) (e.g. COMPILER) performing the compilation ; AGENT(s) (e.g. CODE_GENERATOR) generating the code (SHARED PROPERTY)
COMPONENT,,,,An abstract software component
COMPONENT,fileParent,FILE,,The file an ENTITY is defined in
COMPONENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
COMPONENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
COMPONENT,generatedAtTime,dateTime,,The time this entity was created and available for use
COMPONENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
COMPONENT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
COMPONENT,title,string,,"A short, human-readable identifying label."
COMPONENT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
COMPONENT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
COMPONENT,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
COMPONENT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
COMPONENT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
COMPONENT,annotations,ENTITY,,Analysis annotations that apply to this component.
COMPONENT,componentType,COMPONENT_TYPE,,
COMPONENT,controlFlowsToConditionally,COMPONENT,,Control flows from this component to the target conditionally.
COMPONENT,controlFlowsToUnconditionally,COMPONENT,,Control flows from this component to the target unconditionally.
COMPONENT,definedIn,ENTITY,,Defining entity of this code structure. This is typically a FILE.
COMPONENT,instantiates,ENTITY,,What logical component (system) does this physical component (code) instantiate or implement?
COMPONENT,mentions,ENTITY,,"A component referenced by this one, e.g., a callee or variable being used."
COMPONENT,name,string,,
COMPONENT,requirements,ENTITY,,Low-level requirements that apply to this component.
COMPONENT,subcomponentOf,ENTITY,,"A structural sub-component, e.g., a function might be a subcomponent of module."
COMPONENT,valueType,string,,"The type of this value, if applicable (e.g. for functions or variables)."
COMPONENT_TYPE,,,,An open/extensible set of types of software components
COMPONENT_TYPE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
COMPONENT_TYPE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
COMPONENT_TYPE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
COMPONENT_TYPE,title,string,,"A short, human-readable identifying label."
PACKAGE,,,,ACTIVITY of running a PACKAGER to produce a package FILE
PACKAGE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
PACKAGE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
PACKAGE,endedAtTime,dateTime,,The time an activity was ended
PACKAGE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
PACKAGE,startedAtTime,dateTime,,The time an activity was started
PACKAGE,title,string,,"A short, human-readable identifying label."
PACKAGE,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
PACKAGE,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
PACKAGE,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
PACKAGE,packageInput,FILE,,Source files used when generating the package output
PACKAGE,packagedBy,FILE,,The tool used to generate the package output
PACKAGE,performedBy (SHARED PROPERTY),AGENT,,AGENT(s) (e.g. PACKAGER) performing the packaging ; AGENT(s) (e.g. COMPILER) performing the compilation ; AGENT(s) (e.g. CODE_GENERATOR) generating the code (SHARED PROPERTY)
FUNCTION,,,,defines functionality / capability
FUNCTION,fileParent,FILE,,The file an ENTITY is defined in
FUNCTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FUNCTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FUNCTION,generatedAtTime,dateTime,,The time this entity was created and available for use
FUNCTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FUNCTION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
FUNCTION,title,string,,"A short, human-readable identifying label."
FUNCTION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
FUNCTION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
FUNCTION,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
FUNCTION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
FUNCTION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
FUNCTION,parentFunction,FUNCTION,,allows for decomposition of functionality
INTERFACE,,,,INTERFACEs describe directed connections between an ENTITY (e.g. SYSTEM) providing what another ENTITY (e.g. SYSTEM) requires
INTERFACE,fileParent,FILE,,The file an ENTITY is defined in
INTERFACE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
INTERFACE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
INTERFACE,generatedAtTime,dateTime,,The time this entity was created and available for use
INTERFACE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
INTERFACE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
INTERFACE,title,string,,"A short, human-readable identifying label."
INTERFACE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
INTERFACE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
INTERFACE,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
INTERFACE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
INTERFACE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
INTERFACE,destination,ENTITY,,ENTITY (e.g. SYSTEM) that requires what the INTERFACE offers
INTERFACE,identifiedBy,ACTIVITY,,ACTIVITY out of which this INTERFACE was identified
INTERFACE,source,ENTITY,,ENTITY (e.g. SYSTEM) that provides what the INTERFACE offers
OP_ENV,,,,defines the operating environment assumptions and constraints
OP_ENV,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
OP_ENV,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
OP_ENV,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
OP_ENV,title,string,,"A short, human-readable identifying label."
OP_ENV,envConstraint,string,,describes environmental constraints on system operations
OP_PROCEDURE,,,,"system operational procedures employed, e.g. going through a checklist, limiting people near runways, etc."
OP_PROCEDURE,approvalAuthority (SHARED PROPERTY),AGENT,,AGENT responsible for approving a document. (SHARED PROPERTY)
OP_PROCEDURE,dateOfIssue (SHARED PROPERTY),date,,Release date for the document. (SHARED PROPERTY)
OP_PROCEDURE,issuingOrganization (SHARED PROPERTY),AGENT,,AGENT responsible for producing a document. (SHARED PROPERTY)
OP_PROCEDURE,status (SHARED PROPERTY),DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn. (SHARED PROPERTY)"
OP_PROCEDURE,fileParent,FILE,,The file an ENTITY is defined in
OP_PROCEDURE,mitigates,HAZARD,,a HAZARD may be mitigated by a OP_PROCEDURE
OP_PROCEDURE,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
OP_PROCEDURE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
OP_PROCEDURE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
OP_PROCEDURE,generatedAtTime,dateTime,,The time this entity was created and available for use
OP_PROCEDURE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
OP_PROCEDURE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
OP_PROCEDURE,title,string,,"A short, human-readable identifying label."
OP_PROCEDURE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
OP_PROCEDURE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
OP_PROCEDURE,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
OP_PROCEDURE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
OP_PROCEDURE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SYSTEM,,,,SYSTEMs classify logical parts of the whole system being developed
SYSTEM,fileParent,FILE,,The file an ENTITY is defined in
SYSTEM,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SYSTEM,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SYSTEM,generatedAtTime,dateTime,,The time this entity was created and available for use
SYSTEM,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SYSTEM,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SYSTEM,title,string,,"A short, human-readable identifying label."
SYSTEM,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SYSTEM,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SYSTEM,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
SYSTEM,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SYSTEM,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SYSTEM,function,FUNCTION,,functionality / capability of a SYSTEM
SYSTEM,partOf,ENTITY,,Used to define a relationship to a higher level system
SYSTEM,producedBy,ACTIVITY,,ACTIVITY(s) participating in developing this SYSTEM
SYSTEM,provides,ENTITY,,List of entities that this SYSTEM provides to others
SYSTEM,requires,ENTITY,,List of entities that this SYSTEM requires from others
SYSTEM_DEVELOPMENT,,,,ACTIVITY relating to the creation of one or more some SYSTEMs
SYSTEM_DEVELOPMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SYSTEM_DEVELOPMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SYSTEM_DEVELOPMENT,endedAtTime,dateTime,,The time an activity was ended
SYSTEM_DEVELOPMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SYSTEM_DEVELOPMENT,startedAtTime,dateTime,,The time an activity was started
SYSTEM_DEVELOPMENT,title,string,,"A short, human-readable identifying label."
SYSTEM_DEVELOPMENT,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
SYSTEM_DEVELOPMENT,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
SYSTEM_DEVELOPMENT,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
SYSTEM_DEVELOPMENT,developedBy,AGENT,,Organization that is responsible for producing a system
TEST,,,,Description of a single test
TEST,fileParent,FILE,,The file an ENTITY is defined in
TEST,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
TEST,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
TEST,generatedAtTime,dateTime,,The time this entity was created and available for use
TEST,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
TEST,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
TEST,title,string,,"A short, human-readable identifying label."
TEST,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
TEST,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
TEST,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
TEST,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
TEST,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
TEST,producedBy,ACTIVITY,,TEST_DEVELOPMENT activity(s) this test belongs to
TEST,verifies,ENTITY,,Parent ENTITY(s) (e.g. REQUIREMENT) that this requirement is derived from
TEST_DEVELOPMENT,,,,ACTIVITY of creating a TEST to participate in the evaluation of a requirement
TEST_DEVELOPMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
TEST_DEVELOPMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
TEST_DEVELOPMENT,endedAtTime,dateTime,,The time an activity was ended
TEST_DEVELOPMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
TEST_DEVELOPMENT,startedAtTime,dateTime,,The time an activity was started
TEST_DEVELOPMENT,title,string,,"A short, human-readable identifying label."
TEST_DEVELOPMENT,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
TEST_DEVELOPMENT,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
TEST_DEVELOPMENT,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
TEST_DEVELOPMENT,developedBy,AGENT,,"Entity that is responsible for producing a test, could be a person or a tool. "
TEST_EXECUTION,,,,ACTIVITY of performing a TEST and record its corresponding TEST_RESULT
TEST_EXECUTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
TEST_EXECUTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
TEST_EXECUTION,endedAtTime,dateTime,,The time an activity was ended
TEST_EXECUTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
TEST_EXECUTION,startedAtTime,dateTime,,The time an activity was started
TEST_EXECUTION,title,string,,"A short, human-readable identifying label."
TEST_EXECUTION,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
TEST_EXECUTION,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
TEST_EXECUTION,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
TEST_EXECUTION,executedOn,AGENT,,
TEST_RESULT,,,,Result corresponding to one execution of one TEST
TEST_RESULT,fileParent,FILE,,The file an ENTITY is defined in
TEST_RESULT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
TEST_RESULT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
TEST_RESULT,generatedAtTime,dateTime,,The time this entity was created and available for use
TEST_RESULT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
TEST_RESULT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
TEST_RESULT,title,string,,"A short, human-readable identifying label."
TEST_RESULT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
TEST_RESULT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
TEST_RESULT,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
TEST_RESULT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
TEST_RESULT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
TEST_RESULT,confirms,ENTITY,,Parent test(s) of this test result
TEST_RESULT,executedBy,ACTIVITY,,ACTIVITY(s) that created this test result
TEST_RESULT,result,TEST_STATUS,,Pass/Failed/Indeterminate status resulting from a TEST_EXECUTION
TEST_STATUS,,"enumeration: [http://arcos.rack/TESTING#Passed, http://arcos.rack/TESTING#Failed, http://arcos.rack/TESTING#Indeterminate]",,The high-level outcome of a TEST_RESULT
TEST_STATUS,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
TEST_STATUS,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
TEST_STATUS,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
TEST_STATUS,title,string,,"A short, human-readable identifying label."
